"","gene","msc_11_S11.readcounts","msc_12_S12.readcounts","msc_13_S13.readcounts","msc_14_S14.readcounts","msc_15_S15.readcounts"
"241","ENSG00000173673",2,2,1,2,0
"242","ENSG00000158292",376,1052,795,585,977
"243","ENSG00000097021",5442,2734,3944,5151,3704
"244","ENSG00000271746",0,0,0,0,0
"245","ENSG00000069812",8,69,12,15,2
"246","ENSG00000187017",4,30,74,24,67
"247","ENSG00000265392",0,0,0,0,0
"248","ENSG00000231868",0,0,0,0,0
"249","ENSG00000215788",2,4,3,7,5
"250","ENSG00000171680",80,89,92,113,212
"251","ENSG00000162408",342,472,370,250,327
"252","ENSG00000253022",0,0,0,0,0
"253","ENSG00000229519",3,2,0,1,1
"254","ENSG00000173662",0,3,0,0,3
"255","ENSG00000204859",250,250,319,268,285
"256","ENSG00000162413",2110,5052,4950,2676,3189
"257","ENSG00000116273",539,691,962,566,570
"258","ENSG00000041988",205,357,339,348,342
"259","ENSG00000007923",1459,1294,1296,1368,1126
"260","ENSG00000228750",0,0,0,0,0
"261","ENSG00000284744",0,0,0,0,0
"262","ENSG00000237436",2,8,5,7,5
"263","ENSG00000171735",674,833,1272,1143,1038
"264","ENSG00000227950",0,0,0,0,0
"265","ENSG00000237365",0,0,0,0,0
"266","ENSG00000207056",0,0,0,0,0
"267","ENSG00000237402",0,0,1,2,1
"268","ENSG00000237728",0,0,0,0,0
"269","ENSG00000225126",0,0,0,0,0
"270","ENSG00000270171",0,0,0,0,0
"271","ENSG00000270035",0,0,0,2,1
"272","ENSG00000269978",1,1,0,0,0
"273","ENSG00000049245",3820,4333,4809,5233,4355
"274","ENSG00000269925",2,9,6,3,3
"275","ENSG00000049246",708,835,855,1092,1292
"276","ENSG00000236266",4,10,4,7,3
"277","ENSG00000049247",8,65,10,2,0
"278","ENSG00000049249",0,0,0,0,0
"279","ENSG00000270330",0,0,0,0,0
"280","ENSG00000116288",3497,3950,4496,4704,3525
"281","ENSG00000200344",0,0,0,0,0
"282","ENSG00000284747",5,5,3,1,3
"283","ENSG00000284716",3,2,2,0,0
"284","ENSG00000116285",246,195,179,105,126
"285","ENSG00000238290",0,4,1,0,0
