Gene_id	dsc_1	dsc_3	dsc_5	dsc_7	dsc_9	dsc_2	dsc_4	dsc_6	dsc_8	dsc_10	dsc_27	dsc_28	dsc_29	dsc_30	dsc_31
ENSG00000238164	45	47	37	21	30	67	45	37	34	26	86	76	67	34	0
ENSG00000157873	661	924	915	847	820	982	1104	927	750	946	1815	1624	1466	1376	0
ENSG00000225931	2	1	3	2	3	0	0	2	0	2	1	3	5	5	0
ENSG00000228037	3	3	5	4	0	4	2	2	2	3	9	7	6	6	0
ENSG00000157870	1235	1540	1506	1088	1430	1522	1394	1037	1468	1167	1771	1518	1233	1144	0
ENSG00000142606	8	20	6	6	9	14	11	10	9	13	12	29	5	7	0
ENSG00000237058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215912	5	8	12	10	6	8	11	18	1	6	14	14	17	22	0
ENSG00000285945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287396	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ENSG00000284745	2	0	0	0	1	0	0	2	1	1	0	0	0	1	0
ENSG00000169717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177133	106	260	156	157	137	131	233	151	172	109	490	584	366	399	0
ENSG00000142611	885	1573	1247	1294	1068	1396	1803	1207	1569	989	1409	1781	1352	1367	1
ENSG00000283572	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0
ENSG00000226286	0	1	3	0	2	2	3	2	7	3	1	4	1	2	0
ENSG00000279839	0	2	0	0	0	0	0	1	2	1	0	0	5	2	0
ENSG00000272235	39	37	37	35	24	28	35	20	30	17	41	50	31	30	0
ENSG00000287828	20	22	34	16	22	33	24	39	24	18	50	44	32	28	0
ENSG00000286518	3	2	0	4	2	0	2	6	0	0	0	2	3	3	0
ENSG00000130762	43	48	70	67	76	82	86	79	84	71	163	153	154	140	0
ENSG00000272088	0	0	0	0	0	0	0	1	2	2	0	1	1	0	0
ENSG00000162591	101	50	32	46	80	137	29	18	44	20	353	64	81	78	0
ENSG00000207776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238260	1	0	0	1	0	0	1	0	2	0	8	4	2	2	0
ENSG00000158109	994	927	977	759	887	1433	1053	793	1033	908	1325	1250	1118	925	2
ENSG00000116213	242	336	365	321	334	389	398	300	406	353	607	655	616	562	0
ENSG00000078900	1	9	2	4	5	1	4	3	12	5	2	8	5	2	0
ENSG00000227589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227372	545	904	749	723	868	826	1146	647	1258	857	1250	1443	1180	1172	0
ENSG00000276189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162592	0	0	0	0	1	0	2	0	0	0	3	1	1	2	0
ENSG00000235169	26	43	18	14	29	33	59	26	46	25	18	23	17	19	0
ENSG00000130764	870	962	913	880	1123	1139	1085	765	1065	1037	1538	1503	1402	1191	0
ENSG00000266075	2	2	1	0	2	0	4	2	2	3	4	5	6	5	0
ENSG00000272153	5	11	10	11	3	15	19	8	10	14	35	36	23	16	0
ENSG00000116198	852	814	1033	842	1000	1335	1167	813	1045	1021	1311	1224	1261	1037	0
ENSG00000169598	124	170	138	146	132	176	200	137	140	136	240	288	270	232	0
ENSG00000198912	321	367	380	287	362	491	356	350	416	375	598	555	493	364	0
ENSG00000236423	4	6	7	9	10	0	3	6	4	9	20	24	14	17	0
ENSG00000233304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSG00000284668	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
ENSG00000284703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229280	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
ENSG00000235054	1	0	0	1	0	0	0	0	2	0	0	1	0	0	0
ENSG00000284694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196581	91	124	34	57	89	42	50	23	14	21	103	105	61	67	0
ENSG00000287586	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000284739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284674	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284692	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264101	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000131697	328	423	245	328	347	459	455	244	281	308	793	720	417	502	0
ENSG00000069424	237	373	299	283	252	299	340	251	181	190	379	382	229	272	1
ENSG00000116254	6	3	3	7	4	7	2	3	2	2	11	9	12	20	0
ENSG00000285629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116251	1209	1454	1256	1169	1222	1587	1440	856	1549	1058	2111	2679	1924	1560	3
ENSG00000226944	0	2	0	0	3	1	2	0	1	2	2	6	7	3	0
ENSG00000158286	11	32	22	20	27	29	27	18	17	9	106	97	65	64	0
ENSG00000116237	2750	3296	3315	2790	2879	3901	3607	2615	3764	2667	3320	3776	3625	3317	4
ENSG00000225077	2	3	11	6	0	6	3	4	10	11	1	3	4	8	0
ENSG00000173673	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000158292	1073	2009	1286	958	1550	1497	2279	1074	2079	1508	1634	2044	1182	1105	1
ENSG00000097021	1408	1733	1799	1398	1576	1852	1549	1349	1614	1105	1789	1921	1731	1628	2
ENSG00000271746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000069812	8	7	11	5	4	32	9	12	6	8	13	3	6	5	0
ENSG00000187017	27	63	27	32	75	20	43	14	62	26	38	96	18	59	0
ENSG00000265392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231868	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000215788	12	35	19	26	24	31	52	13	31	47	129	149	87	78	0
ENSG00000171680	131	198	125	120	229	234	328	110	203	295	316	348	183	170	0
ENSG00000162408	347	329	362	362	390	476	533	373	712	452	566	577	760	680	2
ENSG00000253022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229519	2	1	4	3	2	3	5	1	2	3	4	5	18	9	0
ENSG00000173662	2	0	0	1	0	1	0	0	0	2	6	5	0	2	0
ENSG00000204859	170	244	239	265	216	250	318	214	313	272	499	464	350	391	1
ENSG00000162413	1428	1459	1393	1266	1932	1919	1572	1257	2011	1801	2326	1879	1775	1812	4
ENSG00000116273	583	843	661	543	738	834	922	557	1161	703	815	980	781	669	1
ENSG00000041988	250	271	282	272	324	319	329	245	371	331	386	387	285	332	0
ENSG00000007923	700	769	809	797	767	888	814	688	826	696	991	938	975	864	2
ENSG00000228750	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000284744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237436	2	1	3	1	4	5	5	3	2	1	10	9	5	2	0
ENSG00000171735	682	795	777	692	769	880	846	582	978	704	1128	1469	1241	1024	1
ENSG00000227950	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0
ENSG00000237365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237402	0	1	0	0	0	0	2	0	0	1	0	1	1	0	0
ENSG00000237728	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
ENSG00000225126	0	4	0	0	0	2	0	0	2	0	4	1	0	0	0
ENSG00000270171	2	3	6	6	0	0	6	0	3	0	1	7	6	10	0
ENSG00000270035	0	8	5	5	3	2	6	2	2	7	7	27	21	13	0
ENSG00000269978	0	6	2	5	2	2	11	5	3	4	27	64	36	25	0
ENSG00000049245	3067	3479	3498	2934	3706	4220	3810	2820	3694	3492	4069	5274	4790	3655	8
ENSG00000269925	12	8	9	8	7	11	4	11	5	6	19	28	46	8	0
ENSG00000049246	861	1267	610	579	646	927	1108	500	752	506	1215	1712	922	660	1
ENSG00000236266	2	0	1	4	3	5	7	5	2	1	9	14	21	2	0
ENSG00000049247	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0
ENSG00000049249	4	2	10	4	1	6	8	1	21	2	4	6	17	8	0
ENSG00000270330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116288	2611	2466	2638	2373	2883	3660	2703	2203	3276	2533	4686	4862	4103	4178	7
ENSG00000200344	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
ENSG00000284747	0	12	8	5	6	5	7	1	0	2	11	22	20	9	0
ENSG00000284716	0	0	0	0	0	0	0	2	0	0	0	2	2	1	0
ENSG00000116285	478	333	319	208	264	940	338	202	280	263	642	575	476	270	2
ENSG00000238290	0	0	1	0	2	2	0	0	0	0	0	1	1	0	0
ENSG00000232848	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000229305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162426	27	66	30	27	58	50	62	14	24	52	47	49	23	25	0
ENSG00000252254	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000142599	2202	2983	2450	2584	2336	3165	3727	2366	4579	2741	2846	3144	2557	2263	1
ENSG00000232912	0	1	0	1	1	1	1	0	1	0	3	9	1	1	0
ENSG00000221083	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0
ENSG00000270282	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000234619	2	2	0	1	1	0	1	0	0	4	0	1	1	3	0
ENSG00000224315	0	0	0	0	4	0	0	0	1	3	1	0	4	2	0
ENSG00000222511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226545	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
ENSG00000228423	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000229716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000074800	13757	12897	14660	11824	15186	18705	12305	10577	16366	13058	19609	15144	15932	14006	28
ENSG00000274258	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
ENSG00000230679	0	2	1	1	1	1	2	0	2	0	3	3	3	3	0
ENSG00000201725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238249	0	0	0	0	0	0	0	0	1	1	1	8	2	6	0
ENSG00000232208	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0
ENSG00000232663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131686	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0
ENSG00000265141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142583	0	0	0	2	5	5	0	0	0	0	4	0	3	2	0
ENSG00000252404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180758	83	99	83	65	100	111	85	29	87	82	142	144	98	108	0
ENSG00000228526	92	140	193	195	134	175	211	186	249	191	838	597	667	702	0
ENSG00000284357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234546	109	46	59	90	48	109	63	104	99	93	128	68	119	144	0
ENSG00000049239	2044	2734	3566	2471	2778	2533	3266	2683	3619	2392	3008	3088	3806	2580	5
ENSG00000171621	376	259	233	154	230	676	322	195	260	241	385	296	214	177	0
ENSG00000284652	21	29	27	18	24	23	23	17	34	21	28	25	38	27	0
ENSG00000284693	69	117	88	95	125	104	152	91	135	83	71	116	99	124	0
ENSG00000252956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171612	222	209	225	163	230	323	212	149	258	221	486	501	469	381	1
ENSG00000231181	1	0	2	0	4	1	0	1	1	4	6	4	2	3	0
ENSG00000188807	644	915	848	722	839	884	950	640	1148	869	932	927	766	697	0
ENSG00000171608	1018	941	1105	646	808	1675	1197	959	1402	941	1426	1067	1172	734	1
ENSG00000179840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231789	98	102	89	91	139	148	160	89	120	119	73	94	74	66	0
